"BehaviorSpace results (NetLogo 7.0.1)","Table version 2.0"
"polarizacion_extension_redes.nlogox"
"psi_libre_de_escala"
"04/06/2026 18:39:56:169 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","14","0","14"
"[run number]","c","tipo_red","h","k","m","n","gamma","[step]","Psi"
"44","4","libre de escala","8","2","6","6","0.8","10000","0.1716828829744057"
"45","4","libre de escala","8","2","6","6","0.8","10000","0.22690476190476272"
"46","4","libre de escala","8","2","6","6","0.8","10000","0.30886348082225373"
"47","4","libre de escala","8","2","6","6","0.8","10000","0.0653560711935427"
"42","4","libre de escala","8","2","6","6","0.8","20000","0.95330107807402"
"48","4","libre de escala","8","2","6","6","0.8","0","-0.0014890456210156222"
"45","4","libre de escala","8","2","6","6","0.8","15000","0.11648148148149617"
"43","4","libre de escala","8","2","6","6","0.8","15000","0.2947140806676968"
"44","4","libre de escala","8","2","6","6","0.8","15000","0.08718778656695714"
"46","4","libre de escala","8","2","6","6","0.8","15000","0.3503140940243423"
"47","4","libre de escala","8","2","6","6","0.8","15000","0.13521504436249454"
"48","4","libre de escala","8","2","6","6","0.8","5000","0.10536143852195468"
"43","4","libre de escala","8","2","6","6","0.8","20000","0.33404100223295763"
"46","4","libre de escala","8","2","6","6","0.8","20000","0.38560837631555456"
"45","4","libre de escala","8","2","6","6","0.8","20000","0.14095238095245044"
"44","4","libre de escala","8","2","6","6","0.8","20000","0.11002334712943851"
"49","4","libre de escala","8","2","6","6","0.8","0","-0.0016338924441342828"
"50","4","libre de escala","8","2","6","6","0.8","0","-0.0014879171077873676"
"51","4","libre de escala","8","2","6","6","1","0","4.202316988739796E-4"
"52","4","libre de escala","8","2","6","6","1","0","-0.0013695501066849636"
"47","4","libre de escala","8","2","6","6","0.8","20000","0.2766932624391396"
"53","4","libre de escala","8","2","6","6","1","0","2.116402116408289E-4"
"48","4","libre de escala","8","2","6","6","0.8","10000","0.4203343312795263"
"49","4","libre de escala","8","2","6","6","0.8","5000","0.10119826841870089"
"52","4","libre de escala","8","2","6","6","1","5000","0.0682462487222158"
"51","4","libre de escala","8","2","6","6","1","5000","0.0754689804572301"
"50","4","libre de escala","8","2","6","6","0.8","5000","0.08561653421968046"
"53","4","libre de escala","8","2","6","6","1","5000","0.08203703703704426"
"49","4","libre de escala","8","2","6","6","0.8","10000","0.4208572765168738"
"48","4","libre de escala","8","2","6","6","0.8","15000","0.7056529529527763"
"50","4","libre de escala","8","2","6","6","0.8","10000","0.31302104131388064"
"52","4","libre de escala","8","2","6","6","1","10000","0.19826193592509606"
"51","4","libre de escala","8","2","6","6","1","10000","0.39475194806904956"
"53","4","libre de escala","8","2","6","6","1","10000","0.20003968253967824"
"50","4","libre de escala","8","2","6","6","0.8","15000","0.3979716472782252"
"49","4","libre de escala","8","2","6","6","0.8","15000","0.9620388719157621"
"51","4","libre de escala","8","2","6","6","1","15000","0.5676870513138591"
"48","4","libre de escala","8","2","6","6","0.8","20000","0.7341915263802119"
"53","4","libre de escala","8","2","6","6","1","15000","0.430198412698368"
"52","4","libre de escala","8","2","6","6","1","15000","0.4029874544705028"
"54","4","libre de escala","8","2","6","6","1","0","0.0014988784488941531"
"50","4","libre de escala","8","2","6","6","0.8","20000","0.44141285970392186"
"49","4","libre de escala","8","2","6","6","0.8","20000","0.9281043484018212"
"51","4","libre de escala","8","2","6","6","1","20000","0.6286259387605025"
"53","4","libre de escala","8","2","6","6","1","20000","0.4385582010581638"
"52","4","libre de escala","8","2","6","6","1","20000","0.570412366177991"
"55","4","libre de escala","8","2","6","6","1","0","-0.001996808549729584"
"56","4","libre de escala","8","2","6","6","1","0","0.0031099538688464656"
"57","4","libre de escala","8","2","6","6","1","0","-4.521436032433046E-4"
"58","4","libre de escala","8","2","6","6","1","0","-3.035568420559631E-4"
