"BehaviorSpace results (NetLogo 7.0.1)","Table version 2.0"
"polarizacion_extension_redes.nlogox"
"psi_red_aleatoria"
"04/06/2026 18:35:37:002 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","14","0","14"
"[run number]","c","tipo_red","h","k","m","n","gamma","[step]","Psi"
"47","4","aleatoria","8","2","6","6","0.8","0","-0.0012287719239697792"
"43","4","aleatoria","8","2","6","6","0.8","5000","0.2061369348624568"
"44","4","aleatoria","8","2","6","6","0.8","5000","0.07797343909910526"
"45","4","aleatoria","8","2","6","6","0.8","5000","0.08736646320956001"
"42","4","aleatoria","8","2","6","6","0.8","10000","0.8287756713098333"
"46","4","aleatoria","8","2","6","6","0.8","5000","0.15329191687737825"
"47","4","aleatoria","8","2","6","6","0.8","5000","0.0880200501903631"
"44","4","aleatoria","8","2","6","6","0.8","10000","0.30799561943139564"
"43","4","aleatoria","8","2","6","6","0.8","10000","0.7337689915567908"
"45","4","aleatoria","8","2","6","6","0.8","10000","0.31182994768916855"
"42","4","aleatoria","8","2","6","6","0.8","15000","0.9794452539911926"
"46","4","aleatoria","8","2","6","6","0.8","10000","0.49127648847149036"
"47","4","aleatoria","8","2","6","6","0.8","10000","0.405455415435433"
"44","4","aleatoria","8","2","6","6","0.8","15000","0.8215079380757058"
"45","4","aleatoria","8","2","6","6","0.8","15000","0.6419416666900939"
"43","4","aleatoria","8","2","6","6","0.8","15000","0.7898952031033397"
"46","4","aleatoria","8","2","6","6","0.8","15000","0.6758829568884741"
"42","4","aleatoria","8","2","6","6","0.8","20000","0.9793467971905643"
"47","4","aleatoria","8","2","6","6","0.8","15000","0.9423666228258722"
"48","4","aleatoria","8","2","6","6","0.8","0","-0.0032190581791195494"
"44","4","aleatoria","8","2","6","6","0.8","20000","0.8126984754078779"
"45","4","aleatoria","8","2","6","6","0.8","20000","0.6402105225533563"
"49","4","aleatoria","8","2","6","6","0.8","0","-0.0025189925964640703"
"43","4","aleatoria","8","2","6","6","0.8","20000","0.8097358066567271"
"50","4","aleatoria","8","2","6","6","0.8","0","6.509542704573879E-4"
"46","4","aleatoria","8","2","6","6","0.8","20000","0.7600813278850871"
"51","4","aleatoria","8","2","6","6","1","0","0.0020560279376252433"
"52","4","aleatoria","8","2","6","6","1","0","0.0016130372228950196"
"48","4","aleatoria","8","2","6","6","0.8","5000","0.13463063471151687"
"47","4","aleatoria","8","2","6","6","0.8","20000","0.9453481589948254"
"53","4","aleatoria","8","2","6","6","1","0","-1.7904712837801817E-4"
"49","4","aleatoria","8","2","6","6","0.8","5000","0.1097501778548251"
"50","4","aleatoria","8","2","6","6","0.8","5030","0.14952272367821212"
"51","4","aleatoria","8","2","6","6","1","5016","0.09632555987233996"
"52","4","aleatoria","8","2","6","6","1","5000","0.11021480248504276"
"48","4","aleatoria","8","2","6","6","0.8","10000","0.4422736077153193"
"53","4","aleatoria","8","2","6","6","1","5000","0.12626877802821365"
"49","4","aleatoria","8","2","6","6","0.8","10000","0.42160147641418316"
"50","4","aleatoria","8","2","6","6","0.8","10051","0.6209221232640268"
"51","4","aleatoria","8","2","6","6","1","10038","0.599147040266848"
"52","4","aleatoria","8","2","6","6","1","10000","0.34892807712750673"
"48","4","aleatoria","8","2","6","6","0.8","15000","0.6133818549849246"
"53","4","aleatoria","8","2","6","6","1","10000","0.5081157386337619"
"50","4","aleatoria","8","2","6","6","0.8","15071","0.9643733867446671"
"49","4","aleatoria","8","2","6","6","0.8","15000","0.7668312031571504"
"52","4","aleatoria","8","2","6","6","1","15000","0.6432025273375017"
"51","4","aleatoria","8","2","6","6","1","15062","0.8157424017690286"
"48","4","aleatoria","8","2","6","6","0.8","20000","0.6372774733721849"
